resort_slug,resort_name,state_code,state_name,country_code,country_name,is_active,is_region
bald-mountain-us,Bald Mountain,ID,ID,US,United States,True,False
balderschwang-de,Balderschwang,Bavaria,Bavaria,DE,Germany,True,False
banff-sunshine-village-ca,Banff Sunshine Village,AB,AB,CA,Canada,True,False
bansko-bg,Bansko,Blagoevgrad,Blagoevgrad,BG,Bulgaria,True,False
baqueira-beret-es-766,Baqueira Beret,Pyrenees,Pyrenees,ES,Spain,True,False
baqueira-beret-es-403,Baqueira-Beret,Catalonia,Catalonia,ES,Spain,True,False
bear-creek-us,Bear Creek,PA,PA,US,United States,True,False
bear-paw-us,Bear Paw,MT,MT,US,United States,True,False
bear-valley-us,Bear Valley,CA,CA,US,United States,True,False
beartown-us,Beartown,NY,NY,US,United States,True,False
beaver-creek-us,Beaver Creek,CO,CO,US,United States,True,False
beaver-mountain-us,Beaver Mountain,UT,UT,US,United States,True,False
beech-mountain-us,Beech Mountain,NC,NC,US,United States,True,False
belleayre-us,Belleayre,NY,NY,US,United States,True,False
bellows-falls-ski-tow-us,Bellows Falls Ski Tow,VT,VT,US,United States,True,False
berchtesgaden-de,Berchtesgaden,Bavaria,Bavaria,DE,Germany,True,False
berkshire-east-us,Berkshire East,MA,MA,US,United States,True,False
betania-ge,Betania,Kvemo Kartli,Kvemo Kartli,GE,Georgia,True,False
biaka-tatrzaska-pl,Białka Tatrzańska,Lesser Poland,Lesser Poland,PL,Poland,True,False
big-bear-mountain-us,Big Bear Mountain,CA,CA,US,United States,True,False
big-boulder-us,Big Boulder,PA,PA,US,United States,True,False
big-creek-us,Big Creek,OH,OH,US,United States,True,False
big-horn-us,Big Horn,WY,WY,US,United States,True,False
big-powderhorn-us,Big Powderhorn,MI,MI,US,United States,True,False
big-rock-us,Big Rock,ME,ME,US,United States,True,False
big-sky-resort-us,Big Sky Resort,MT,MT,US,United States,True,False
big-snow-american-dream-us,Big Snow American Dream,NJ,NJ,US,United States,True,False
big-squaw-us,Big Squaw,ME,ME,US,United States,True,False
big-tupper-us,Big Tupper,NY,NY,US,United States,True,False
big-white-ca,Big White,BC,BC,CA,Canada,True,False
bittersweet-us,Bittersweet,MI,MI,US,United States,True,False
bjorkliden-se,Bjorkliden,LapLand,LapLand,SE,Sweden,True,False
black-mountain-us-92,Black Mountain,ME,ME,US,United States,True,False
black-mountain-us-476,Black Mountain,NH,NH,US,United States,True,False
blackhawk-us,Blackhawk,WI,WI,US,United States,True,False
blackjack-us,Blackjack,MI,MI,US,United States,True,False
blacktail-mountain-us,Blacktail Mountain,MT,MT,US,United States,True,False
blfjll-is,Bláfjöll,Iceland,Iceland,IS,Iceland,True,False
blue-hills-us,Blue Hills,MA,MA,US,United States,True,False
blue-knob-us,Blue Knob,PA,PA,US,United States,True,False
blue-mountain-us,Blue Mountain,PA,PA,US,United States,True,False
blue-mountain-ca,Blue Mountain,ON,ON,CA,Canada,True,False
bluewood-us-703,Bluewood,WA,WA,US,United States,True,False
bluewood-us-302,Bluewood,WA,WA,US,United States,True,False
boge-xk,Boge,Kosovo,Kosovo,XK,Kosovo,True,False
bogus-basin-us,Bogus Basin,ID,ID,US,United States,True,False
bo-tall-es,Boí Taüll,Pyrenees,Pyrenees,ES,Spain,True,False
bolton-valley-us,Bolton Valley,VT,VT,US,United States,True,False
bonneval-sur-arc-fr,Bonneval-sur-Arc,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,France,True,False
book-across-the-bay-us,Book Across the Bay,WI,WI,US,United States,True,False
boreal-us,Boreal,CA,CA,US,United States,True,False
borovets-bg,Borovets,Sofia,Sofia,BG,Bulgaria,True,False
boston-mills-us,Boston Mills,OH,OH,US,United States,True,False
bottineau-us,Bottineau,ND,ND,US,United States,True,False
bousquet-us,Bousquet,MA,MA,US,United States,True,False
boyce-park-us,Boyce Park,PA,PA,US,United States,True,False
boyne-highlands-us,Boyne Highlands,MI,MI,US,United States,True,False
boyne-mountain-us,Boyne Mountain,MI,MI,US,United States,True,False
brandywine-us,Brandywine,OH,OH,US,United States,True,False
brantling-us,Brantling,NY,NY,US,United States,True,False
brauneck-de,Brauneck,Bavaria,Bavaria,DE,Germany,True,False
breckenridge-us,Breckenridge,CO,CO,US,United States,True,False
bretton-woods-us,Bretton Woods,NH,NH,US,United States,True,False
brezovica-xk,Brezovica,Kosovo,Kosovo,XK,Kosovo,True,False
brian-head-us,Brian Head,UT,UT,US,United States,True,False
bridger-bowl-us,Bridger Bowl,MT,MT,US,United States,True,False
brighton-us,Brighton,UT,UT,US,United States,True,False
bristol-mountain-us,Bristol Mountain,NY,NY,US,United States,True,False
bromley-us,Bromley,VT,VT,US,United States,True,False
bromont-ca,Bromont,QC,QC,CA,Canada,True,False
